Part, url, Purchase url
Motors,-,See SI for the exact specs, they were bought from alixpress but the link is dead now, but very similar motors with same specs can be found
PWM shield,https://learn.adafruit.com/adafruit-motor-shield-v2-for-arduino
Stackable headers,-,https://shop.pimoroni.com/products/arduino-stackable-header-6-pin
Darlington transistor arrays,http://www.ti.com/lit/ds/symlink/uln2803a.pdf,Ask So
Arduino Mega,https://www.arduino.cc/en/Main/ArduinoBoardMega,
Magnets,-,http://www.first4magnets.com/circular-disc-rod-magnets-c34/2mm-dia-x-2mm-thick-n42sh-neodymium-magnet-0-15kg-pull-p3327#ps_1-1716
